year	month	day	monthday	link	city	state	Concert	Keep	day
2014	2	35	Feb 7	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4832.MOV")	Washington	District of Columbia		keep	35
2014	2	36	Feb 8	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4813.MOV")	Washington	District of Columbia		keep	36
2014	2	37	Feb 9	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4868.MOV")	Washington	District of Columbia		keep	37
2014	2	38	Feb 10	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4871.MOV")	Washington	District of Columbia		keep	38
2014	2	39	Feb 11	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4904.MOV")	Washington	District of Columbia		keep	39
2014	2	40	Feb 12	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4907.MOV")	Washington	District of Columbia		keep	40
2014	2	41	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4916.MOV")	Washington	District of Columbia		keep	41
2014	2	1	Feb 14	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4952.MOV")	Windham Mountain	New York		keep	1
2014	2	2	Feb 15	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV")	Windham Mountain	New York		keep	2
2014	2	3	Feb 16	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4995.MOV")	Windham Mountain	New York		keep	3
2014	2	4	Feb 17	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5007.MOV")	Windham Mountain	New York		keep	4
2014	2	5	Feb 18	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV")	Windham Mountain	New York		keep	5
2014	2	42	Feb 19	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5068.MOV")	Washington	District of Columbia	Black Joe Lewis and the Honey Bears	keep	42
2014	2	43	Feb 20	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5079.MOV")	Washington	District of Columbia		keep	43
2014	2	2	Feb 21	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5156.MOV")	Annandale	Virginia		keep	2
2014	2	44	Feb 22	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5174.MOV")	Washington	District of Columbia		keep	44
2014	2	3	Feb 23	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5125.MOV")	Annandale	Virginia		keep	3
2014	2	45	Feb 24	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5187.MOV")	Washington	District of Columbia		keep	45
2014	2	46	Feb 25	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5186.MOV")	Washington	District of Columbia		keep	46
2014	2	47	Feb 26	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4914.MOV")	Washington	District of Columbia		keep	47
2014	2	48	Feb 27	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5227.MOV")	Washington	District of Columbia		keep	48
2014	2	49	Feb 28	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5252.MOV")	Washington	District of Columbia		keep	49
2014	3	50	Mar 1	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5279.MOV")	Washington	District of Columbia		keep	50
2014	3	1	Mar 2	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5309.MOV")	Philadelphia	Pennsylvania		keep	1
2014	3	51	Mar 3	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5380.MOV")	Washington	District of Columbia		keep	51
2014	3	52	Mar 4	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5401.MOV")	Washington	District of Columbia		keep	52
2014	3	53	Mar 5	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5430.MOV")	Washington	District of Columbia		keep	53
2014	3	54	Mar 6	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5465.MOV")	Washington	District of Columbia		keep	54
2014	3	1	Mar 7	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5523.MOV")	Cambridge	Massachusetts		keep	1
2014	3	1	Mar 8	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5543.MOV")	Foxboro	Massachusetts		keep	1
2014	3	2	Mar 9	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5546.MOV")	Foxboro	Massachusetts		keep	2
2014	3	55	Mar 10	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5578.MOV")	Washington	District of Columbia		keep	55
2014	3	56	Mar 11	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5566.MOV")	Washington	District of Columbia		keep	56
2014	3	57	Mar 12	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5581.MOV")	Washington	District of Columbia		keep	57
2014	3	58	Mar 13	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5602.MOV")	Washington	District of Columbia		keep	58
2014	3	59	Mar 14	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5627.MOV")	Washington	District of Columbia		keep	59
2014	3	1	Mar 15	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5744.MOV")	Nashville	Tennessee		keep	1
2014	3	60	Mar 16	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5810.MOV")	Washington	District of Columbia		keep	60
2014	3	61	Mar 17	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5812.MOV")	Washington	District of Columbia		keep	61
2014	3	62	Mar 18	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5838.MOV")	Washington	District of Columbia		keep	62
2014	3	63	Mar 19	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5959.MOV")	Washington	District of Columbia		keep	63
2014	3	64	Mar 20	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5852.MOV")	Washington	District of Columbia		keep	64
2014	3	65	Mar 21	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5928.MOV")	Washington	District of Columbia	Dale Earnhardt Jr Jr	keep	65
