year	month	day	monthday	link	city	state
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1170.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1134.MOV")	Washington	District of Columbia
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1159.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1124.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1269.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1251.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1195.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1272.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1282.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1160.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1289.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1293.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1294.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1284.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1172.MOV")	Buchanan	Michigan
2014	08	03	Aug 3	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1171.MOV")	Buchanan	Michigan
